using device: cuda
tokenizer=subword/bpe | tokenizer_vocab=512 | corpus_chars=5,077,489 | train_tokens=1,897,789 | val_tokens=210,866
tokenizer_model=C:\Users\alber\AppData\Local\Temp\jakal_net_tokenizers\progressive_b_subword_bpe_512_442781528131.model
model_params=640,218 | dim=128 | seq_len=64 | warmup=3 | stages=3/8/2 | refine=3
schedule_steps=59,304 | approx_epochs=8.000 | steps_per_epoch=7,413 | batch_size=256 | objective=full_sequence_causal
causal_path=sequence_only_joint_blocks
progress | step=    1/59304 | epoch=0.000 |   0.0% | minibatch_loss=6.4133 | elapsed=1.0s
progress | step=  500/59304 | epoch=0.067 |   0.8% | minibatch_loss=5.5905 | elapsed=83.3s
progress | step= 1000/59304 | epoch=0.135 |   1.7% | minibatch_loss=5.5714 | elapsed=168.6s
progress | step= 1500/59304 | epoch=0.202 |   2.5% | minibatch_loss=5.5642 | elapsed=255.9s
progress | step= 2000/59304 | epoch=0.270 |   3.4% | minibatch_loss=5.5763 | elapsed=345.1s
progress | step= 2500/59304 | epoch=0.337 |   4.2% | minibatch_loss=5.5650 | elapsed=433.5s
progress | step= 3000/59304 | epoch=0.405 |   5.1% | minibatch_loss=5.5694 | elapsed=521.9s
progress | step= 3500/59304 | epoch=0.472 |   5.9% | minibatch_loss=5.5734 | elapsed=612.0s
progress | step= 4000/59304 | epoch=0.540 |   6.7% | minibatch_loss=5.5642 | elapsed=702.2s
progress | step= 4500/59304 | epoch=0.607 |   7.6% | minibatch_loss=5.5920 | elapsed=792.2s
progress | step= 5000/59304 | epoch=0.674 |   8.4% | minibatch_loss=5.5592 | elapsed=883.3s
progress | step= 5500/59304 | epoch=0.742 |   9.3% | minibatch_loss=5.5770 | elapsed=976.4s
progress | step= 6000/59304 | epoch=0.809 |  10.1% | minibatch_loss=5.5553 | elapsed=1071.4s
progress | step= 6500/59304 | epoch=0.877 |  11.0% | minibatch_loss=5.5727 | elapsed=1167.4s
progress | step= 7000/59304 | epoch=0.944 |  11.8% | minibatch_loss=5.5787 | elapsed=1260.2s
progress | step= 7500/59304 | epoch=1.012 |  12.6% | minibatch_loss=5.5773 | elapsed=1357.0s
progress | step= 8000/59304 | epoch=1.079 |  13.5% | minibatch_loss=5.5717 | elapsed=1450.7s
progress | step= 8500/59304 | epoch=1.147 |  14.3% | minibatch_loss=5.5629 | elapsed=1543.4s
progress | step= 9000/59304 | epoch=1.214 |  15.2% | minibatch_loss=5.5857 | elapsed=1638.0s
progress | step= 9500/59304 | epoch=1.282 |  16.0% | minibatch_loss=5.5780 | elapsed=1737.9s
progress | step=10000/59304 | epoch=1.349 |  16.9% | minibatch_loss=5.5672 | elapsed=1842.2s
progress | step=10500/59304 | epoch=1.416 |  17.7% | minibatch_loss=5.5781 | elapsed=1944.2s
progress | step=11000/59304 | epoch=1.484 |  18.5% | minibatch_loss=5.5696 | elapsed=2044.7s
progress | step=11500/59304 | epoch=1.551 |  19.4% | minibatch_loss=5.5740 | elapsed=2146.2s
progress | step=12000/59304 | epoch=1.619 |  20.2% | minibatch_loss=5.5631 | elapsed=2240.3s
progress | step=12500/59304 | epoch=1.686 |  21.1% | minibatch_loss=5.5609 | elapsed=2335.1s
progress | step=13000/59304 | epoch=1.754 |  21.9% | minibatch_loss=5.5618 | elapsed=2433.0s
progress | step=13500/59304 | epoch=1.821 |  22.8% | minibatch_loss=5.5642 | elapsed=2531.1s
progress | step=14000/59304 | epoch=1.889 |  23.6% | minibatch_loss=5.5669 | elapsed=2629.1s
progress | step=14500/59304 | epoch=1.956 |  24.5% | minibatch_loss=5.5586 | elapsed=2727.1s
progress | step=15000/59304 | epoch=2.023 |  25.3% | minibatch_loss=5.5633 | elapsed=2826.4s
progress | step=15500/59304 | epoch=2.091 |  26.1% | minibatch_loss=5.5799 | elapsed=2924.4s
progress | step=16000/59304 | epoch=2.158 |  27.0% | minibatch_loss=5.5508 | elapsed=3022.8s
progress | step=16500/59304 | epoch=2.226 |  27.8% | minibatch_loss=5.5806 | elapsed=3126.4s
progress | step=17000/59304 | epoch=2.293 |  28.7% | minibatch_loss=5.5807 | elapsed=3229.1s
progress | step=17500/59304 | epoch=2.361 |  29.5% | minibatch_loss=5.5502 | elapsed=3336.4s
progress | step=18000/59304 | epoch=2.428 |  30.4% | minibatch_loss=5.5877 | elapsed=3440.5s
progress | step=18500/59304 | epoch=2.496 |  31.2% | minibatch_loss=5.5599 | elapsed=3544.1s
progress | step=19000/59304 | epoch=2.563 |  32.0% | minibatch_loss=5.5522 | elapsed=3638.7s
progress | step=19500/59304 | epoch=2.631 |  32.9% | minibatch_loss=5.5659 | elapsed=3731.9s
progress | step=20000/59304 | epoch=2.698 |  33.7% | minibatch_loss=5.5580 | elapsed=3825.7s
