kind,step,total_steps,stage,span,train_loss,lr,cpu_batch_ms,prefetch_q,elapsed_s
progress,1,9153,stage1,1,9.7767,0.0001,6.1,9152,2.5
progress,25,9153,stage1,1,8.4434,0.000119238,6.1,9128,27.3
progress,50,9153,stage1,1,7.7509,0.000139279,6.1,9103,53.3
progress,75,9153,stage1,1,7.5897,0.000159319,6.1,9078,80.5
progress,100,9153,stage1,1,7.5619,0.000179359,6.1,9053,106.9
progress,125,9153,stage1,1,7.531,0.000199399,6.1,9028,133.7
progress,150,9153,stage1,1,7.4801,0.000219439,6.1,9003,161.6
progress,175,9153,stage1,1,7.2444,0.000239479,6.1,8978,188.7
progress,200,9153,stage1,1,6.8942,0.000259519,6.1,8953,215.8
progress,250,9153,stage1,1,6.481,0.000299599,6.1,8903,271.3
