step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
1,stage1,1,9.726469993591309,2.3758950272864316,0.0001,,
2,stage1,1,9.694705963134766,2.3634952154371587,0.00010080160320641282,,
3,stage1,1,9.61165714263916,2.232234839115481,0.00010160320641282566,,
4,stage1,1,9.534584999084473,2.144449047662185,0.00010240480961923848,,
5,stage1,1,9.460847854614258,2.1043529539294155,0.00010320641282565131,,
6,stage1,1,9.366806030273438,2.023050671088404,0.00010400801603206413,,
7,stage1,1,9.320688247680664,1.9853997767567837,0.00010480961923847696,,
8,stage1,1,9.254204750061035,1.8714720394422566,0.00010561122244488978,,
9,stage1,1,9.195913314819336,1.8149542982032436,0.00010641282565130261,,
10,stage1,1,9.175065040588379,1.7827882472113807,0.00010721442885771543,,
11,stage1,1,9.1202974319458,1.6882419663614727,0.00010801603206412827,,
12,stage1,1,9.038999557495117,1.6317387207216985,0.00010881763527054109,,
13,stage1,1,8.996063232421875,1.6167498741051383,0.00010961923847695392,,
14,stage1,1,8.96005630493164,1.6216891139328509,0.00011042084168336674,,
15,stage1,1,8.905344009399414,1.6970317089193878,0.00011122244488977957,,
16,stage1,1,8.88354778289795,1.5947701489621013,0.00011202404809619239,,
17,stage2,1,8.862897872924805,1.5810960786403943,0.00011282565130260521,,
18,stage2,1,8.812836647033691,1.8397775075153497,0.00011362725450901804,,
19,stage2,1,8.759882926940918,1.6661286863909932,0.00011442885771543088,,
20,stage2,1,8.735271453857422,1.5473659183214197,0.0001152304609218437,,
21,stage2,1,8.685422897338867,1.5744724883434986,0.00011603206412825651,,
22,stage2,1,8.634069442749023,1.6188785737723386,0.00011683366733466935,,
23,stage2,1,8.58580207824707,1.6709374161422685,0.00011763527054108217,,
24,stage2,1,8.575528144836426,1.6785002096820507,0.000118436873747495,,
25,stage2,1,8.54326057434082,1.4581158534619532,0.00011923847695390782,,
26,stage2,1,8.507275581359863,1.4485779746294722,0.00012004008016032065,,
27,stage2,1,8.470126152038574,1.5074851528776794,0.00012084168336673347,,
28,stage2,1,8.431413650512695,1.4715022268957365,0.00012164328657314629,,
29,stage2,1,8.424636840820312,1.5422941748847172,0.00012244488977955912,,
30,stage2,1,8.376782417297363,1.4545793410810883,0.00012324649298597196,,
31,stage2,1,8.320693016052246,1.434217610303359,0.00012404809619238476,,
32,stage2,1,8.291991233825684,1.392803669243115,0.0001248496993987976,,
33,stage2,1,8.262645721435547,1.3744163874149071,0.00012565130260521043,,
34,stage2,1,8.225580215454102,1.3490312482435936,0.00012645290581162326,,
35,stage2,1,8.234823226928711,1.7522136091388454,0.00012725450901803607,,
36,stage2,1,8.1863431930542,1.6765260620494316,0.0001280561122244489,,
37,stage2,1,8.156329154968262,1.4291144798790734,0.00012885771543086173,,
38,stage2,1,8.081377983093262,1.3000814688085165,0.00012965931863727457,,
39,stage2,1,8.083759307861328,1.287473159094221,0.00013046092184368737,,
40,stage2,1,8.044831275939941,1.2842349975283458,0.0001312625250501002,,
41,stage2,1,8.01257038116455,1.2498819025298173,0.00013206412825651304,,
42,stage2,1,8.012359619140625,1.2239470137532562,0.00013286573146292584,,
43,stage2,1,7.9852423667907715,1.2102025053062029,0.00013366733466933868,,
44,stage2,1,7.961520195007324,1.181117775912699,0.0001344689378757515,,
45,stage2,1,7.912129878997803,1.1813378765132183,0.00013527054108216434,,
46,stage2,1,7.889892101287842,1.13261388549862,0.00013607214428857717,,
47,stage2,1,7.8957905769348145,1.129087086096942,0.00013687374749498998,,
48,stage2,1,7.84165096282959,1.0575072806504895,0.0001376753507014028,,
49,stage2,1,7.795849323272705,1.0465346726072116,0.00013847695390781565,,
50,stage2,1,7.798505783081055,1.0027299072435851,0.00013927855711422845,,
51,stage2,1,7.811322212219238,1.02412782081114,0.00014008016032064128,,
52,stage2,1,7.786783218383789,1.0163501241134743,0.00014088176352705412,,
53,stage2,1,7.751638412475586,1.021861988892707,0.00014168336673346692,,
54,stage2,1,7.8381242752075195,2.167475781333771,0.00014248496993987976,,
55,stage2,1,7.726025104522705,1.6600697043221844,0.0001432865731462926,,
56,stage2,1,7.697026252746582,0.8298511125655623,0.00014408817635270542,,
57,stage2,1,7.6567254066467285,0.764620879605903,0.00014488977955911825,,
58,stage2,1,7.659351348876953,0.7302358610706279,0.00014569138276553106,,
59,stage2,1,7.67631721496582,0.7375265187254658,0.0001464929859719439,,
60,stage2,1,7.630453586578369,0.6964887673854243,0.00014729458917835673,,
61,stage2,1,7.630932807922363,0.6438621425808287,0.00014809619238476953,,
62,stage2,1,7.62298059463501,0.5939390519941417,0.00014889779559118237,,
63,stage2,1,7.61322021484375,0.5580538722530951,0.0001496993987975952,,
64,stage2,1,7.627431869506836,0.5321951125262483,0.000150501002004008,,
65,stage3,1,7.62592077255249,0.5074959324981949,0.00015130260521042084,,
66,stage3,1,7.609320640563965,0.534999933655723,0.00015210420841683367,,
67,stage3,1,7.5845046043396,0.4632313295216321,0.0001529058116232465,,
68,stage3,1,7.5710554122924805,0.40557889134891045,0.00015370741482965934,,
69,stage3,1,7.592596054077148,0.3234394565214159,0.00015450901803607214,,
70,stage3,1,7.586481094360352,0.27158653454066506,0.00015531062124248497,,
71,stage3,1,7.574472427368164,0.22670380168069768,0.0001561122244488978,,
72,stage3,1,7.57011604309082,0.19943572921834504,0.00015691382765531064,,
73,stage3,1,7.536219596862793,0.19125312369552874,0.00015771543086172347,,
74,stage3,1,7.546770095825195,0.16161003071695965,0.00015851703406813628,,
75,stage3,1,7.545241832733154,0.1555595346917292,0.0001593186372745491,,
76,stage3,1,7.571787357330322,0.14640481814092327,0.00016012024048096194,,
77,stage3,1,7.5444536209106445,0.13431195517852834,0.00016092184368737475,,
78,stage3,1,7.538142204284668,0.1263941579492365,0.00016172344689378758,,
79,stage3,1,7.530642986297607,0.15364457376269336,0.00016252505010020042,,
80,stage3,1,7.524796962738037,0.13514940308817616,0.00016332665330661322,,
81,stage3,1,7.529071807861328,0.14955509149499974,0.00016412825651302606,,
82,stage3,1,7.539226055145264,0.16187366206691203,0.0001649298597194389,,
83,stage3,1,7.56081485748291,0.17739649814916242,0.0001657314629258517,,
84,stage3,1,7.572082042694092,0.1868392513095477,0.00016653306613226455,,
85,stage3,1,7.546738147735596,0.18045849157786012,0.00016733466933867736,,
86,stage3,1,7.55687141418457,0.18430859085221882,0.0001681362725450902,,
87,stage3,1,7.549775123596191,0.1299557575514968,0.00016893787575150303,,
88,stage3,1,7.5360941886901855,0.13036614802595142,0.00016973947895791583,,
89,stage3,1,7.522611141204834,0.12397438645420113,0.00017054108216432866,,
90,stage3,1,7.563093662261963,0.12136461297474585,0.0001713426853707415,,
91,stage3,1,7.582935333251953,0.11656741978586631,0.0001721442885771543,,
92,stage3,1,7.569614410400391,0.11337695834358644,0.00017294589178356714,,
93,stage3,1,7.555845737457275,0.11280092671509921,0.00017374749498997997,,
94,stage3,1,7.557536602020264,0.10666745457417624,0.00017454909819639277,,
95,stage3,1,7.55278205871582,0.10450937437151313,0.00017535070140280563,,
96,stage3,1,7.530422687530518,0.112410718651687,0.00017615230460921844,,
97,stage3,1,7.562482833862305,0.10892280560590166,0.00017695390781563127,,
98,stage3,1,7.549724578857422,0.10381054838681174,0.0001777555110220441,,
99,stage3,1,7.56506872177124,0.1102928520563884,0.0001785571142284569,,
100,stage3,1,7.550937175750732,0.10884423532574974,0.00017935871743486975,,
101,stage3,1,7.6025471687316895,0.12065848454665414,0.00018016032064128258,,
102,stage3,1,7.567349433898926,0.11385022418272507,0.00018096192384769538,,
103,stage3,1,7.573933124542236,0.10864408805415171,0.00018176352705410824,,
104,stage3,1,7.572685718536377,0.1190435286283067,0.00018256513026052105,,
105,stage3,1,7.5805864334106445,0.11772404078393366,0.00018336673346693386,,
106,stage3,1,7.5939860343933105,0.11226349809918265,0.00018416833667334672,,
107,stage3,1,7.58217191696167,0.09679784477767123,0.00018496993987975952,,
108,stage3,1,7.538807392120361,0.1134083589727775,0.00018577154308617235,,
109,stage3,1,7.560952663421631,0.11509415901930221,0.0001865731462925852,,
110,stage3,1,7.550479412078857,0.09946195380282613,0.000187374749498998,,
111,stage3,1,7.557276725769043,0.10576994974863091,0.00018817635270541083,,
112,stage3,1,7.546009063720703,0.0973367312030269,0.00018897795591182366,,
113,stage3,1,7.55185604095459,0.1182061166890855,0.00018977955911823646,,
114,stage3,1,7.520280838012695,0.10280742542592618,0.00019058116232464932,,
115,stage3,1,7.523284912109375,0.11227868614552633,0.00019138276553106213,,
116,stage3,1,7.516602039337158,0.10711971676463275,0.00019218436873747496,,
117,stage3,1,7.561105728149414,0.10574729237090012,0.0001929859719438878,,
118,stage3,1,7.580377578735352,0.11607907831747094,0.0001937875751503006,,
119,stage3,1,7.569042682647705,0.13666166680389272,0.00019458917835671343,,
120,stage3,1,7.527238368988037,0.10277454327123349,0.00019539078156312627,,
121,stage3,1,7.534816265106201,0.11212841745069634,0.00019619238476953907,,
122,stage3,1,7.56544303894043,0.12719284639236858,0.0001969939879759519,,
123,stage3,1,7.566778182983398,0.11127506725259893,0.00019779559118236474,,
124,stage3,1,7.542020797729492,0.09717973558171888,0.00019859719438877755,,
125,stage3,1,7.540553569793701,0.11953314388035201,0.0001993987975951904,,
126,stage3,1,7.526700496673584,0.11356151400164187,0.0002002004008016032,,
127,stage3,1,7.5788068771362305,0.10635247853311008,0.00020100200400801602,,
128,stage3,1,7.56153678894043,0.11220951608698237,0.00020180360721442888,,
129,stage3,1,7.541637420654297,0.10314469179827625,0.00020260521042084168,,
130,stage3,1,7.547933578491211,0.10642571348992938,0.00020340681362725452,,
131,stage3,1,7.5348801612854,0.10376135929539775,0.00020420841683366735,,
132,stage3,1,7.5490899085998535,0.1263771364626065,0.00020501002004008015,,
133,stage3,1,7.552927017211914,0.10799414654969541,0.000205811623246493,,
134,stage3,1,7.5641865730285645,0.10183808304780077,0.00020661322645290582,,
135,stage3,1,7.579830646514893,0.0985952892265025,0.00020741482965931863,,
136,stage3,1,7.5782976150512695,0.11527884882788457,0.00020821643286573149,,
137,stage3,1,7.570810317993164,0.1250645130914247,0.0002090180360721443,,
138,stage3,1,7.562304496765137,0.10775268740674963,0.00020981963927855712,,
139,stage3,1,7.5452399253845215,0.10601226890008117,0.00021062124248496996,,
140,stage3,1,7.534064769744873,0.098524981357007,0.00021142284569138276,,
141,stage3,1,7.5271782875061035,0.15714193537118676,0.0002122244488977956,,
142,stage3,1,7.555164337158203,0.20304577844564883,0.00021302605210420843,,
143,stage3,1,7.578221321105957,0.42434810641399207,0.00021382765531062126,,
144,stage3,1,7.550294399261475,0.1844468468714254,0.0002146292585170341,,
145,stage3,1,7.523319244384766,0.12136214510766744,0.0002154308617234469,,
146,stage3,1,7.554016590118408,0.12240716241764155,0.00021623246492985973,,
147,stage3,1,7.548447608947754,0.3328373252932039,0.00021703406813627257,,
148,stage3,1,7.549428462982178,0.16704252449395046,0.00021783567134268537,,
149,stage3,1,7.56347131729126,0.1531888144356636,0.00021863727454909823,,
150,stage3,1,7.542929649353027,0.16920723983968125,0.00021943887775551104,,
151,stage3,1,7.553167819976807,0.12947481447765283,0.00022024048096192387,,
152,stage3,1,7.53961706161499,0.13325544100685974,0.0002210420841683367,,
153,stage3,1,7.532816410064697,0.11857461532405622,0.0002218436873747495,,
154,stage3,1,7.559849739074707,0.11706775572781906,0.00022264529058116232,,
155,stage3,1,7.547755718231201,0.22393688463040617,0.00022344689378757518,,
156,stage3,1,7.5227580070495605,0.21084089578595938,0.00022424849699398798,,
157,stage3,1,7.53143310546875,0.1363345943151012,0.0002250501002004008,,
158,stage3,1,7.542534828186035,0.12187046110973697,0.00022585170340681365,,
159,stage3,1,7.516819000244141,0.11847875039200806,0.00022665330661322645,,
160,stage3,1,7.5264105796813965,0.13407779992122001,0.00022745490981963926,,
161,stage3,1,7.529441833496094,0.13221444212694788,0.00022825651302605212,7.544192612592756,1889.7363719667226
