step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
12901,stage3,1,4.773309230804443,8.720384740715893,9.900000000000001e-05,,
12902,stage3,1,4.903329372406006,9.055881824110436,9.8e-05,,
12903,stage3,1,4.934728145599365,7.766514185190948,9.7e-05,,
12904,stage3,1,4.936995029449463,9.05364999837705,9.6e-05,,
12905,stage3,1,4.9368696212768555,9.761927546151417,9.5e-05,,
12906,stage3,1,4.961723327636719,9.249558769754687,9.4e-05,,
12907,stage3,1,4.938441276550293,9.081031441685292,9.3e-05,,
12908,stage3,1,4.960074424743652,7.937051488294946,9.200000000000001e-05,,
12909,stage3,1,4.955260753631592,8.647458661167247,9.1e-05,,
12910,stage3,1,4.957756042480469,8.154958118420852,9e-05,,
12911,stage3,1,4.933502197265625,8.007632333335478,8.900000000000001e-05,,
12912,stage3,1,4.950350284576416,7.483205479258351,8.800000000000001e-05,,
12913,stage3,1,4.952239513397217,6.865195273867138,8.7e-05,,
12914,stage3,1,4.935994625091553,6.768000237845557,8.6e-05,,
12915,stage3,1,4.933453559875488,7.961538636657988,8.5e-05,,
12916,stage3,1,4.9165849685668945,6.47925772453038,8.4e-05,,
12917,stage3,1,4.929511547088623,8.647217565863727,8.3e-05,,
12918,stage3,1,4.916622161865234,6.797576546170659,8.200000000000001e-05,,
12919,stage3,1,4.918340682983398,7.903941353042902,8.1e-05,,
12920,stage3,1,4.923007488250732,6.13376057392207,8e-05,,
12921,stage3,1,4.920526504516602,7.715787134117281,7.900000000000001e-05,,
12922,stage3,1,4.905234336853027,6.758262352238131,7.800000000000001e-05,,
12923,stage3,1,4.915720462799072,6.559534836795128,7.7e-05,,
12924,stage3,1,4.946348190307617,7.549495991430052,7.6e-05,,
12925,stage3,1,4.980999946594238,6.737414137627294,7.500000000000001e-05,,
12926,stage3,1,4.947842597961426,7.376715795536614,7.4e-05,,
12927,stage3,1,4.961278438568115,6.401556233063858,7.3e-05,,
12928,stage3,1,4.928643226623535,8.09495772590114,7.2e-05,,
12929,stage3,1,4.897723197937012,7.154499638426484,7.1e-05,,
12930,stage3,1,4.914546012878418,6.334775828045994,7e-05,,
12931,stage3,1,4.913303852081299,5.989611482768815,6.9e-05,,
12932,stage3,1,4.953338623046875,6.370169970488518,6.8e-05,,
12933,stage3,1,4.930575847625732,6.615585807905137,6.7e-05,,
12934,stage3,1,4.937910556793213,6.999697930826859,6.599999999999999e-05,,
12935,stage3,1,4.930655002593994,4.723693418771501,6.500000000000001e-05,,
12936,stage3,1,4.938432216644287,6.909630317286269,6.400000000000001e-05,,
12937,stage3,1,4.98404598236084,5.844296347496596,6.3e-05,,
12938,stage3,1,5.004349708557129,5.063262713234918,6.2e-05,,
12939,stage3,1,4.95133113861084,5.2640608457792855,6.1e-05,,
12940,stage3,1,4.934919357299805,6.01185303234574,6e-05,,
12941,stage3,1,4.973023891448975,4.535444512654249,5.900000000000001e-05,,
12942,stage3,1,4.966531276702881,5.400621032630058,5.800000000000001e-05,,
12943,stage3,1,4.921666622161865,4.4390115923049684,5.700000000000001e-05,,
12944,stage3,1,4.914491653442383,4.895953559642439,5.6000000000000006e-05,,
12945,stage3,1,4.928481101989746,7.02729374574291,5.500000000000001e-05,,
12946,stage3,1,4.914616107940674,4.495342706229825,5.4000000000000005e-05,,
12947,stage3,1,4.933269500732422,6.635588184291441,5.300000000000001e-05,,
12948,stage3,1,4.92685604095459,6.775700269685455,5.2000000000000004e-05,,
12949,stage3,1,4.928593158721924,5.737160134945803,5.1000000000000006e-05,,
12950,stage3,1,4.935988903045654,5.731841979319696,5e-05,4.9325378388667245,138.73114324730017
